cve_ent,entidad,fecha,pi,brecha_itaee,h,tasa_narco,d_tc,cetes28,expectativa,d_wti
1,Aguascalientes,2004-04-01,0.0039096995343284036,-0.021067194296345626,0.0895297613592497,0.09365988163264159,0.02201639319726123,5.98,3.46,2.721458718659697e-4
1,Aguascalientes,2004-05-01,0.005961020467544209,-0.021205363729743354,0.0895297613592497,0.09365988163264159,0.02330853788638798,6.5925,3.51,0.09171684219151599
1,Aguascalientes,2004-06-01,-1.6664817094547146e-4,-0.026493354321560858,0.0895297613592497,0.09365988163264159,-0.011603100417475254,6.57,3.51,-0.05747974591019345
1,Aguascalientes,2004-07-01,0.0028569465916286063,-0.03616551492699038,0.0895297613592497,0.09365988163264159,0.008873029784754571,6.81,3.52,0.069816443206141
1,Aguascalientes,2004-08-01,0.005808858525117699,-0.04980190827939257,0.0895297613592497,0.09365988163264159,-0.006749575362539062,7.2125,3.58,0.09624602960189943
1,Aguascalientes,2004-09-01,0.010073650527924194,-0.05374488812470268,0.17169846710424758,0.18731976326528318,0.00815698173397994,7.36,3.61,0.022898402512743665
1,Aguascalientes,2004-10-01,0.009982180244179517,-0.05309395332743172,0.17169846710424758,0.18731976326528318,-0.008915670054708169,7.7575,4.11,0.1482248289711814
1,Aguascalientes,2004-11-01,0.002713364577766164,-0.04812052058110616,0,0,-6.435620056959301e-4,8.2025,4.17,-0.09461597637484909
1,Aguascalientes,2004-12-01,0.0025896882394844667,-0.0383817724678428,0,0,-0.015540748784132141,8.502,4.2,-0.11626263232784773
1,Aguascalientes,2005-01-01,-5.550084741834382e-4,-0.03301240048526921,0.08759519480472348,0.09154616902169187,0.004716317308210538,8.6025,4.11,0.08205512120007974
1,Aguascalientes,2005-02-01,0.0021556454935405256,-0.01885900102572524,0,0,-0.010143529271453566,9.1475,4.24,0.027583599514617863
1,Aguascalientes,2005-03-01,0.0052488880876548905,-0.012054424012811538,0.1681316360866032,0.18309233804338373,-7.442500391010576e-4,9.408,4.13,0.11817525133388829
1,Aguascalientes,2005-04-01,0.007561841096926258,-0.004225572573108849,0,0,-0.0010822890394748264,9.625,4.11,-0.022581905734099017
1,Aguascalientes,2005-05-01,0.0015865602689411062,7.894096961775787e-4,0,0,-0.012444022733772542,9.75,4.08,-0.0612972715506106
1,Aguascalientes,2005-06-01,-0.0055728654205742245,0.008221323516936607,0.08759519480472348,0.09154616902169187,-0.014488472660149299,9.626,4.2,0.12296502819247213
1,Aguascalientes,2005-07-01,0.007280011304976242,0.015556217787662696,0,0,-0.013051796742914235,9.6125,4.09,0.04595520341993442
1,Aguascalientes,2005-08-01,0.00143210490489043,0.006291052504497685,0.08759519480472348,0.09154616902169187,-0.0021449767040251366,9.595,4,0.09669596800053792
1,Aguascalientes,2005-09-01,0.005734186461220148,0.009806097144410941,0,0,0.010501689560609595,9.214,3.87,0.009189833399386949
1,Aguascalientes,2005-10-01,-4.2783355598885464e-4,0.019219132304454156,0.08759519480472348,0.09154616902169187,0.005395881416302206,8.9075,3.77,-0.05210408029218261
1,Aguascalientes,2005-11-01,0.0021809116715285626,0.02470901361662836,0.08759519480472348,0.09154616902169187,-0.01403334553408575,8.705,3.67,-0.06537407731305933
1,Aguascalientes,2005-12-01,0.006055385696971172,0.028981602896900327,0.08759519480472348,0.09154616902169187,-0.00679505532838931,8.222,3.6,0.018517474667246958
1,Aguascalientes,2006-01-01,0.009920057797674353,0.030359180550861176,0.08586709021266503,0.08966149200309152,-0.004300710022764331,7.88,3.51,0.09743489686231221
1,Aguascalientes,2006-02-01,0.0032535947937963883,0.036331165272163624,0,0,-0.008110806539367132,7.6075,3.38,-0.06074869425581042
1,Aguascalientes,2006-03-01,-5.728920624274991e-4,0.04965031934444841,0.08586709021266503,0.08966149200309152,0.020155761830942698,7.366,3.51,0.017053180311725313
1,Aguascalientes,2006-04-01,0.006377322600293667,0.06164892172936831,0.08586709021266503,0.08966149200309152,0.03058312155677534,7.17,3.64,0.1022611250662182
1,Aguascalientes,2006-05-01,0.0027413205096689097,0.06972457901390161,0.23821695541020124,0.26898447600927455,0.0037620003426157567,7.0175,3.71,0.01996074256253788
1,Aguascalientes,2006-06-01,-2.2038575580829445e-4,0.057362617201104804,0.08586709021266503,0.08966149200309152,0.028098706865134826,7.02,3.69,0.0015515906914185251
1,Aguascalientes,2006-07-01,1.6953182747769802e-4,0.04648833567740418,0.3064885920417534,0.3586459680123661,-0.031020367043233854,7.0325,3.6,0.047614937803118096
1,Aguascalientes,2006-08-01,0.00756568670855895,0.027586905725216937,0.08586709021266503,0.08966149200309152,-0.014879789030278978,7.032,3.63,-0.01858310512245609
1,Aguascalientes,2006-09-01,0.008418510025668624,0.029901247496326278,0.23821695541020124,0.26898447600927455,0.00909886176558139,7.055,3.63,-0.13525404593596946
1,Aguascalientes,2006-10-01,0.002224694902710489,0.03492676938491801,0,0,-0.005768916630228382,7.05,3.07,-0.08008189339426419
1,Aguascalientes,2006-11-01,-0.0011408918916986366,0.029162565554265107,0,0,-0.0030652702767728357,7.042,3.46,0.003221160706699422
1,Aguascalientes,2006-12-01,0.00545947680268366,0.004231398478877324,0.08586709021266503,0.08966149200309152,-7.547679236572513e-4,7.035,3.47,0.047596557885488444
1,Aguascalientes,2007-01-01,0.010838539380589651,-0.019381022498088818,0.08424585393684299,0.08789632452729357,0.005603032564140076,7.035,3.55,-0.12810484447247816
1,Aguascalientes,2007-02-01,0.0037965303120692795,-0.021702310473826536,0.08424585393684299,0.08789632452729357,0.004568106322183407,7.04,3.62,0.08388780991164246
1,Aguascalientes,2007-03-01,-0.001634668347696433,-0.02872365013518774,0,0,0.01270290001413743,7.044,3.58,0.019379156416706955
1,Aguascalientes,2007-04-01,0.0035193908280231057,-0.04307857337724297,0.08424585393684299,0.08789632452729357,-0.01189902633002804,7.005,3.66,0.05691939711683336
1,Aguascalientes,2007-05-01,-3.8318395836611785e-4,-0.05847655298895482,0.1619425150993093,0.17579264905458714,-0.014201615197459105,7.236,3.62,-0.008160748366322856
1,Aguascalientes,2007-06-01,0.0019470078637642274,-0.051313945818897366,0.1619425150993093,0.17579264905458714,-5.868762205274436e-5,7.195,3.67,0.06156965260026581
1,Aguascalientes,2007-07-01,0.003428584084436359,-0.03698615232724123,0.23403520024144775,0.2636889735818807,-0.0032903641035821884,7.185,3.74,0.09370596266184439
1,Aguascalientes,2007-08-01,0.004588221951589588,-0.011375130027992952,0.762044416272856,1.1426522188548163,0.02223653831852035,7.204,3.64,-0.024031740890064768
1,Aguascalientes,2007-09-01,0.010305105027127226,-0.013435034830967751,0.1619425150993093,0.17579264905458714,-4.359012786099292e-4,7.205,3.7,0.09937247381320358
1,Aguascalientes,2007-10-01,7.191464934397374e-5,-0.02402596062687934,0.23403520024144775,0.2636889735818807,-0.018007815323801246,7.2,3.75,0.07099287215361816
1,Aguascalientes,2007-11-01,5.671448051982608e-4,-0.026393287879098892,0.08424585393684299,0.08789632452729357,0.0016204616761061885,7.438,3.85,0.09943389698818716
1,Aguascalientes,2007-12-01,0.005344092497176156,-0.032149235142754584,0.08424585393684299,0.08789632452729357,-5.67037606702403e-4,7.4375,3.88,-0.03303958142029462
1,Aguascalientes,2008-01-01,0.0028554451798230573,-0.03420039757024185,0.22980618449928625,0.25835609737613546,0.006003692581083797,7.416,3.64,0.013863538405957776
1,Aguascalientes,2008-02-01,-0.0027045371067346835,-0.05785133058575642,0.08261051491780327,0.08611869912537849,-0.012237968250583098,7.4275,3.62,0.02569689068934977
1,Aguascalientes,2008-03-01,0.00577297029334467,-0.09366597914438568,0.1589142288771059,0.17223739825075698,-0.004997247589535014,7.4325,3.59,0.1002631557676672
1,Aguascalientes,2008-04-01,0.005394329698972911,-0.12671552569801037,0.08261051491780327,0.08611869912537849,-0.019316320512688723,7.442,3.63,0.06542717311109669
1,Aguascalientes,2008-05-01,0.0028155225405388506,-0.15918957349726792,0.29600345092186103,0.34447479650151397,-0.006435655091598491,7.4375,3.7,0.10784454816293998
1,Aguascalientes,2008-06-01,0.005934411075105395,-0.15724592815830718,0.22980618449928625,0.25835609737613546,-0.01245288576380732,7.555,3.75,0.06543524814430501
1,Aguascalientes,2008-07-01,0.003885099419115079,-0.16030873127322032,0.4165449623621834,0.5167121947522709,-0.008850197646200986,7.926,3.87,-0.0038166557088219477
1,Aguascalientes,2008-08-01,0.006647264701761912,-0.14054919511618902,0.5738388966257957,0.7750682921284064,-0.014328647558245144,8.1775,4.26,-0.13377778379853744
1,Aguascalientes,2008-09-01,0.007590125616559362,-0.1170638726944544,0.35808939007681434,0.4305934956268924,0.04952383616840628,8.165,4.21,-0.11390140434910467
1,Aguascalientes,2008-10-01,0.001985855260996594,-0.09787968320547158,0.1589142288771059,0.17223739825075698,0.16362287348746474,7.742,4.23,-0.30672041595793154
1,Aguascalientes,2008-11-01,0.0040283178025593,-0.046176919134248706,0.1589142288771059,0.17223739825075698,0.04732057974923043,7.43,4.19,-0.29025248796508407
