fecha,cetes28,tc_fix,expectativa,m1,m2,reservas,tiie28,tiie91,tasa_obj,spread_tiie,remesas,vix,fed_funds,petroleo,precio_maiz,precio_trigo
2004-01-01,4.952500000000001,10.960674193548387,NA,811975918.02,2339289328.74,57743.82,5.304519047619047,5.55,NA,0.24548095238095247,NA,16.1,1,34.31,116.2455882936508,147.2896123809525
2004-02-01,5.57,11.018503448275862,NA,804429647.41,2285732239.36,58855.125,5.870442105263158,6.07125,NA,0.20080789473684213,NA,16,1.01,34.68,122.9324291353384,141.7338594736842
2004-03-01,6.2775,10.997829032258064,NA,796861660.49,2312217167.1,58729.35,6.467447826086956,6.499,NA,0.031552173913043546,NA,17.69,1,36.74,128.4601948757764,142.548725
2004-04-01,5.98,11.242646666666667,NA,799774807.43,2306755672.89,58447.88,6.178555,6.395,NA,0.21644499999999933,NA,15.7,1,36.75,133.439499659864,146.0648234920634
2004-05-01,6.5925,11.507774193548387,NA,816684885.43,2291715362.93,58356.325,6.968857142857143,7.3075,NA,0.33864285714285725,NA,17.71,1,40.28,129.2852157142858,143.1842673684211
2004-06-01,6.57,11.37502,NA,849498926.4,2336357856.3,58522.350000000006,7.040531818181818,7.625,NA,0.584468181818182,NA,15.34,1.03,38.03,123.2787510204081,136.8614098412698
2004-07-01,6.8100000000000005,11.4764,NA,830657826.8,2300126954.37,58456.62,7.118459090909091,7.59875,NA,0.4802909090909093,NA,15.5,1.26,40.78,104.4944887755102,132.387431
2004-08-01,7.2125,11.3992,NA,824501677.8,2300666021.32,57659.35,7.510413636363636,7.8397,NA,0.32928636363636343,NA,16.68,1.43,44.9,104.0931375,122.05578
2004-09-01,7.36,11.492563333333333,NA,832481290.24,2340295311.71,57448.75,7.796785714285714,8.056000000000001,NA,0.25921428571428695,NA,14.08,1.61,45.94,97.7269052721088,126.8207655
2004-10-01,7.7575,11.390554838709678,4.11,844900914.89,2379130413.89,57758.54,8.055319047619047,8.4575,NA,0.4021809523809523,NA,14.97,1.76,53.28,93.41514846938772,123.0562893650794
2004-11-01,8.2025,11.383226666666667,4.170000000000001,865986082.27,2432524755.2,58484.95,8.624509090909092,8.85,NA,0.22549090909090808,NA,13.58,1.93,48.47,93.75851033834596,127.1330866666666
2004-12-01,8.501999999999999,11.207690322580646,4.2,946312797.12,2493275017.56,61018.56,8.936095652173913,9.03,NA,0.09390434782608637,NA,12.46,2.16,43.15,95.60852040816332,123.5545730434783
2005-01-01,8.602500000000001,11.260674193548386,4.109999999999999,908035091.58,2467608911.81,61586.525,8.983571428571429,9.03125,NA,0.04767857142857146,NA,13.44,2.28,46.84,96.03875875000004,122.7789621666666
2005-02-01,9.1475,11.14702857142857,4.24,903986453.66,2446272628.51,61525.600000000006,9.48775,9.59125,NA,0.10350000000000037,NA,11.71,2.5,48.15,94.35939360902258,123.129960877193
2005-03-01,9.408,11.138735483870969,4.130000000000001,890367065.1,2468978149.82,61752.075,9.78975,9.98,NA,0.1902500000000007,NA,13.13,2.63,54.19,100.0140110544218,129.9556683333334
2005-04-01,9.625,11.126686666666666,4.11,890894217.5,2476323493.3,60623.82,10.022142857142857,10.223749999999999,NA,0.2016071428571422,NA,14.46,2.79,52.98,96.470871768707525,120.0643050793651
2005-05-01,9.75,10.989083870967741,4.08,892003008.77,2461296990.33,59882.7,10.118636363636364,10.21,NA,0.09136363636363676,NA,13.97,3,49.83,95.364812414966,119.1544619047619
2005-06-01,9.626,10.831016666666667,4.2,929955320.62,2510152999.12,60493.4,10.0075,10.012,NA,0.0045000000000001705,NA,11.87,3.04,56.35,97.61527678571429,122.4733216666667
2005-07-01,9.6125,10.690570967741936,4.09,924866787.16,2530217232.75,59270.96,10.016666666666667,10.03125,NA,0.014583333333332504,NA,11.05,3.26,59,105.6642871428571,130.1644391666666
2005-08-01,9.594999999999999,10.667664516129033,4,916392444.46,2548081745.29,59284.475,9.974130434782609,9.962,NA,-0.012130434782609001,NA,12.95,3.5,64.99,99.28663642857136,131.558302173913
2005-09-01,9.214,10.780283333333333,3.87,924600729.52,2583841432.61,61373.479999999996,9.634761904761906,9.3825,NA,-0.25226190476190524,NA,12.63,3.62,65.59,97.07076836734691,137.3863193650793
2005-10-01,8.9075,10.838609677419354,3.77,934761855.49,2646976727.23,62434.575,9.399166666666666,9.247499999999999,NA,-0.15166666666666728,NA,14.94,3.78,62.26,101.5512460884354,143.0728392063492
2005-11-01,8.705,10.68757,3.67,962288428.07,2686753941.24,65201.075,9.154545454545454,9.094,NA,-0.0605454545454549,NA,12.15,4,58.32,95.9797064285714,136.3539973015872
2005-12-01,8.222,10.615193548387097,3.6,1068139311.81,2847571535.94,67355.28,8.701309523809524,8.57625,NA,-0.125059523809524,NA,11.26,4.16,59.41,102.6760522108844,139.99337
2006-01-01,7.88,10.569638709677418,3.51,1019917763.22,2844250762.1,69197.05,8.391136363636363,8.1625,NA,-0.22863636363636353,NA,12.04,4.29,65.49,102.7904075000001,144.5679565
2006-02-01,7.6075,10.484257142857142,3.38,1012587330.29,2877334284.26,67234.675,7.950921052631579,7.925,NA,-0.0259210526315794,NA,12.47,4.49,61.63,106.9365020676692,158.8873501754386
2006-03-01,7.366,10.69771935483871,3.5099999999999993,1032942319.58,2980422003.71,67427.7,7.668068181818182,7.78,NA,0.11193181818181852,NA,11.69,4.59,62.69,104.9520803571429,155.7931466666667
2006-04-01,7.17,11.029943333333334,3.64,1042284481.29,3048483722.49,69116.875,7.499722222222222,7.7212499999999995,NA,0.22152777777777732,NA,11.85,4.79,69.44,107.9103473684211,161.2080028070176
2006-05-01,7.0175,11.071516129032258,3.71,1047836110.72,3033323264.42,73174.75,7.321136363636364,7.6,NA,0.27886363636363587,NA,14.45,4.94,70.84,110.6246821428572,176.6034233333333
2006-06-01,7.02,11.387023333333333,3.69,1096855213.04,3072939062.92,76914.46,7.332727272727273,7.68875,NA,0.35602272727272677,NA,16.92,4.99,70.95,109.612356632653,176.920755
2006-07-01,7.0325,11.039216129032258,3.600000000000001,1091461936,3008830705.47,78230.6,7.3116666666666665,7.57125,NA,0.2595833333333335,NA,15.33,5.24,74.41,114.3056101785715,181.3483668333334
2006-08-01,7.032,10.876170967741936,3.63,1060740929.9,2985924210.35,71775.3,7.2992,7.477,NA,0.1778000000000004,NA,13.35,5.25,73.04,115.2772892857144,165.1293783333334
2006-09-01,7.055,10.975583333333333,3.63,1074176150.72,2996147269.42,66382.36,7.309933333333333,7.50125,NA,0.19131666666666636,NA,12.18,5.25,63.8,120.2698946428572,164.9423196666666
2006-10-01,7.05,10.912448387096774,NA,1067786693.33,3001393661.65,68016.54999999999,7.312422727272727,7.6530000000000005,NA,0.34057727272727334,NA,11.31,5.25,58.89,142.2624107142858,182.432305
2006-11-01,7.042,10.87905,3.460000000000001,1117490223.87,3029332576.91,68920.28,7.3031,7.609375,NA,0.3062750000000003,NA,10.82,5.25,59.08,164.10640125,182.3010776190477
2006-12-01,7.035,10.87084193548387,3.47,1218196212.24,3203214574.58,69072.55,7.340977777777778,7.6,NA,0.2590222222222218,NA,10.96,5.24,61.96,160.7207348214285,179.5295553333334
2007-01-01,7.035,10.93192258064516,3.5500000000000003,1145328847.8,3157546038.74,67968.85,7.408931818181818,7.67774,NA,0.2688081818181818,NA,11.04,5.25,54.51,165.1600189849624,172.5666305
2007-02-01,7.04,10.981975,3.62,1130788211.26,3182388231.79,68383.04999999999,7.4569052631578945,7.6675,NA,0.21059473684210595,NA,11.16,5.26,59.28,177.3848855263158,175.26729
2007-03-01,7.044,11.122367741935484,3.5799999999999996,1144618543.28,3208342307.05,69182.87999999999,7.455152380952381,7.6720749999999995,NA,0.21692261904761878,NA,15.16,5.26,60.44,169.5832697278912,173.313195
2007-04-01,7.005,10.990806666666666,3.66,1126302579.39,3168402699.42,69324.925,7.479542105263158,7.61095,NA,0.13140789473684222,NA,12.93,5.25,63.98,152.6305667857144,178.5558481666666
2007-05-01,7.236,10.83582258064516,3.62,1132230566.37,3202547654.74,69657.15,7.699831818181818,7.8265,NA,0.1266681818181823,NA,13.3,5.25,63.45,160.1391589285714,178.0063633333333
2007-06-01,7.195,10.835186666666667,3.670000000000001,1173513683.56,3257091853.83,69700.76,7.703733333333333,7.81875,NA,0.11501666666666654,NA,14.95,5.25,67.49,164.5372644841271,206.5169036507937
2007-07-01,7.1850000000000005,10.799593548387097,3.7399999999999998,1162624880.72,3244411351.69,70423.90000000001,7.704354545454546,7.784575,NA,0.08022045454545434,NA,17.27,5.26,74.12,147.2164013157895,222.0017346031745
2007-08-01,7.204000000000001,11.042429032258065,3.6399999999999992,1172696609.4,3321093758.58,71075.52,7.708760869565217,7.7884,NA,0.07963913043478321,NA,25.03,5.02,72.36,151.0307857142857,240.686992173913
2007-09-01,7.205,11.037616666666667,3.6999999999999993,1198792697.74,3330380292.82,72542.6,7.703385,7.765,NA,0.06161499999999975,NA,22.2,4.94,79.91,160.1250315789473,297.9524591228071
2007-10-01,7.2,10.840632258064517,3.7499999999999996,1178607329.02,3364182525.15,74521.95,7.743260869565217,7.829,NA,0.08573913043478232,NA,19.12,4.76,85.8,164.1141037267081,303.6304907246377
2007-11-01,7.438,10.858213333333333,3.8499999999999996,1212874657.8,3425921997.93,76182.22,7.9340150000000005,8.005875,NA,0.07185999999999915,NA,25.58,4.49,94.77,171.113943392857,286.495618095238
2007-12-01,7.4375,10.852058064516129,3.88,1349790076.05,3559334855.97,77347.075,7.931768421052632,7.99875,NA,0.06698157894736845,NA,21.65,4.24,91.69,180.2832636554621,339.2256959259258
2008-01-01,7.4159999999999995,10.917406451612903,3.6399999999999997,1267859659.32,3559901990.45,79212.625,7.925363636363636,7.991499999999999,7.5,0.066136363636363,NA,25.82,3.94,92.97,206.5588043233083,336.1170650793652
2008-02-01,7.4275,10.784613793103448,3.6199999999999997,1253250278.98,3553857620.12,80457.26,7.928755,7.934375,7.5,0.0056200000000004025,NA,25.46,2.98,95.39,220.0475977443609,393.8737348333333
2008-03-01,7.4325,10.730854838709677,3.5899999999999994,1231223441.47,3541257666.35,82611.85,7.9321777777777775,7.94125,7.5,0.009072222222222592,NA,27.1,2.61,105.45,233.9259292857142,403.8128966666666
2008-04-01,7.442,10.525563333333332,3.63,1231574620.23,3568563980.33,84370.575,7.934954545454546,7.9585,7.5,0.023545454545454092,NA,21.56,2.28,112.58,246.6418625000001,326.8516166666667
2008-05-01,7.4375,10.458041935483871,3.6999999999999993,1235484204.87,3645158792.41,84824.5,7.932128571428572,7.9578,7.5,0.025671428571428123,NA,18.3,1.98,125.4,243.5317735714286,288.4202863492064
2008-06-01,7.555,10.328616666666667,3.75,1242487026.91,3649332257.16,85274.85,8.014561904761905,8.099375,7.583333333333333,0.08481309523809522,NA,22.11,2,133.88,287.1320708928572,314.1583500000001
2008-07-01,7.926,10.237609677419355,3.8700000000000006,1232771264.47,3665262001.41,84466.9,8.294391304347826,8.4877,7.858695652173913,0.19330869565217412,NA,24.32,2.01,133.37,267.1414540816327,299.42748
2008-08-01,8.1775,10.091964516129032,4.26,1235888354.38,3625451381.96,79080.06,8.568095238095237,8.712857142857143,8.130952380952381,0.1447619047619053,NA,20.7,2,116.67,235.1594666666667,304.1640726666666
2008-09-01,8.165,10.60434,4.21,1240044574.03,3652276006.05,82154.625,8.660833333333333,8.743095238095238,8.25,0.08226190476190531,NA,30.24,1.81,104.11,233.9456133928573,263.0496593650794
