cve_ent,periodo,entidad,fecha,h,tasa_narco,g,log_itaee,itaee,pi,inpc,d_tc,cetes28,expectativa,d_wti,d_mes02,d_mes03,d_mes04,d_mes05,d_mes06,d_mes07,d_mes08,d_mes09,d_mes10,d_mes11,d_mes12
1,1,Aguascalientes,2004-01-01,0.0895297613592497,0.09365988163264159,NA,3.9847999875632163,53.774532826846,NA,56.63491832,NA,4.952500000000001,NA,NA,0,0,0,0,0,0,0,0,0,0,0
1,2,Aguascalientes,2004-02-01,0,0,NA,3.993935383974308,54.26803523900485,0.007008301738266276,57.03322702,0.005262197623068676,5.57,NA,0.010726295041982414,1,0,0,0,0,0,0,0,0,0,0
1,3,Aguascalientes,2004-03-01,0,0,NA,4.00240650150215,54.72969878586314,-0.0013547289304929322,56.95601477,-0.0018780986445467995,6.2775,NA,0.05770292787463882,0,1,0,0,0,0,0,0,0,0,0
1,4,Aguascalientes,2004-04-01,0.0895297613592497,0.09365988163264159,NA,4.01138317653526,55.223201198022,0.0039096995343284036,57.17913155,0.022016392695452414,5.98,NA,2.721458718659697e-4,0,0,1,0,0,0,0,0,0,0,0
1,5,Aguascalientes,2004-05-01,0.0895297613592497,0.09365988163264159,NA,4.009274175541284,55.1068581387421,0.005961020467544209,57.52099544,0.02330853849122505,6.5925,NA,0.09171684219151599,0,0,0,1,0,0,0,0,0,0,0
1,6,Aguascalientes,2004-06-01,0.0895297613592497,0.09365988163264159,NA,4.00709019166622,54.9866369774862,-1.6664817094547146e-4,57.51141047,-0.01160310072582238,6.57,NA,-0.05747974591019345,0,0,0,0,1,0,0,0,0,0,0
1,7,Aguascalientes,2004-07-01,0.0895297613592497,0.09365988163264159,NA,4.004972107685046,54.8702939182063,0.0028569465916286063,57.67595243,0.008873029784754571,6.8100000000000005,NA,0.069816443206141,0,0,0,0,0,1,0,0,0,0,0
1,8,Aguascalientes,2004-08-01,0.0895297613592497,0.09365988163264159,NA,4.014722202616186,55.407901094376946,0.005808858525117699,58.01195884,-0.006749575362539062,7.2125,NA,0.09624602960189943,0,0,0,0,0,0,1,0,0,0,0
1,9,Aguascalientes,2004-09-01,0.17169846710424758,0.18731976326528318,NA,4.02437815040114,55.9455082705476,0.010073650527924194,58.59930443,0.008156982024022152,7.36,NA,0.022898402512743665,0,0,0,0,0,0,0,1,0,0,0
1,10,Aguascalientes,2004-10-01,0.17169846710424758,0.18731976326528318,NA,4.033634671932564,56.465773279745,0.009982180244179517,59.18718252,-0.008915670458030434,7.7575,4.11,0.1482248289711814,0,0,0,0,0,0,0,0,1,0,0
1,11,Aguascalientes,2004-11-01,0,0,NA,4.029684906433449,56.243186588555126,0.002713364577766164,59.347997,-6.435621852443063e-4,8.2025,4.170000000000001,-0.09461597637484909,0,0,0,0,0,0,0,0,0,1,0
1,12,Aguascalientes,2004-12-01,0,0,-0.021067194245857124,4.0258476411815725,56.02778011321008,0.0025896882394844667,59.50188899,-0.015540748261046566,8.501999999999999,4.2,-0.11626263232784773,0,0,0,0,0,0,0,0,0,0,1
1,13,Aguascalientes,2005-01-01,0.08759519480472348,0.09154616902169187,-0.021205363679088762,4.0218669371355436,55.8051934220202,-5.550084741834382e-4,59.4688741,0.00471631739306666,8.602500000000001,4.109999999999999,0.08205512120007974,0,0,0,0,0,0,0,0,0,0,0
1,14,Aguascalientes,2005-02-01,0,0,-0.02649335427300059,4.019734167901771,55.68630065289244,0.0021556454935405256,59.59720618,-0.010143529458409795,9.1475,4.24,0.027583599514617863,1,0,0,0,0,0,0,0,0,0,0
1,15,Aguascalientes,2005-03-01,0.1681316360866032,0.18309233804338373,-0.03616551487634556,4.017803878164639,55.57891363561576,0.0052488880876548905,59.91084766,-7.442498197347547e-4,9.408,4.130000000000001,0.11817525133388829,0,1,0,0,0,0,0,0,0,0,0
1,16,Aguascalientes,2005-04-01,0,0,-0.04980190822881703,4.015662416431485,55.460020866488,0.007561841096926258,60.36560119,-0.0010822896865780862,9.625,4.11,-0.022581905734099017,0,0,1,0,0,0,0,0,0,0,0
1,17,Aguascalientes,2005-05-01,0,0,-0.053744888072144725,4.0146192123166085,55.40219491189004,0.0015865602689411062,60.46145087,-0.012444022346128847,9.75,4.08,-0.0612972715506106,0,0,0,1,0,0,0,0,0,0,0
1,18,Aguascalientes,2005-06-01,0.08759519480472348,0.09154616902169187,-0.05309395327727984,4.013540090217467,55.34244142547216,-0.0055728654205742245,60.12544447,-0.014488473055970896,9.626,4.2,0.12296502819247213,0,0,0,0,1,0,0,0,0,0,0
1,19,Aguascalientes,2005-07-01,0,0,-0.04812052053104132,4.012494668573128,55.2846154708742,0.007280011304976242,60.56475554,-0.013051796646376346,9.6125,4.09,0.04595520341993442,0,0,0,0,0,1,0,0,0,0,0
